action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,946916,[],CHEMBL677572,Antibacterial activity against Escherichia coli FabI,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,,,CHEMBL1133924,Bioorg Med Chem Lett,2001,"{'bei': '13.58', 'le': '0.25', 'lle': '1.22', 'sei': '7.55'}",,CHEMBL73331,,CHEMBL73331,5.40,0,http://www.openphacts.org/units/Nanomolar,128019,=,1,1,=,,IC50,nM,,4000.0,CHEMBL1857,Escherichia coli K-12,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,83333,,,IC50,uM,UO_0000065,,4.0
,,946918,[],CHEMBL677572,Antibacterial activity against Escherichia coli FabI,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(c1ccccc1O)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1,,,CHEMBL1133924,Bioorg Med Chem Lett,2001,"{'bei': '13.47', 'le': '0.24', 'lle': '1.07', 'sei': '8.17'}",,CHEMBL72286,,CHEMBL72286,5.37,0,http://www.openphacts.org/units/Nanomolar,128017,=,1,1,=,,IC50,nM,,4300.0,CHEMBL1857,Escherichia coli K-12,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,83333,,,IC50,uM,UO_0000065,,4.3
,,949362,[],CHEMBL678213,Antibacterial activity against Staphylococcus aureus Enoyl-[acyl-carrier-protein] reductase was determined,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(c1ccc(O)cc1)N1CCc2c([nH]c3ccccc23)C1,,,CHEMBL1133924,Bioorg Med Chem Lett,2001,"{'bei': '20.02', 'le': '0.36', 'lle': '2.78', 'sei': '10.39'}",,CHEMBL73311,,CHEMBL73311,5.85,0,http://www.openphacts.org/units/Nanomolar,128037,=,1,1,=,,IC50,nM,,1400.0,CHEMBL1857,Escherichia coli K-12,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,83333,,,IC50,uM,UO_0000065,,1.4
,,949363,[],CHEMBL678212,Antibacterial activity against Escherichia coli Enoyl-[acyl-carrier-protein] reductase was determined,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(c1ccc(O)cc1)N1CCc2c([nH]c3ccccc23)C1,,,CHEMBL1133924,Bioorg Med Chem Lett,2001,"{'bei': '16.23', 'le': '0.29', 'lle': '1.67', 'sei': '8.42'}",,CHEMBL73311,,CHEMBL73311,4.75,0,http://www.openphacts.org/units/Nanomolar,128037,=,1,1,=,,IC50,nM,,18000.0,CHEMBL1857,Escherichia coli K-12,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,83333,,,IC50,uM,UO_0000065,,18.0
,,952070,[],CHEMBL678213,Antibacterial activity against Staphylococcus aureus Enoyl-[acyl-carrier-protein] reductase was determined,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(c1ccc(O)cc1)N1CCc2c(n(Cc3ccccc3)c3ccccc23)C1,,,CHEMBL1133924,Bioorg Med Chem Lett,2001,"{'bei': '15.39', 'le': '0.28', 'lle': '1.30', 'sei': '12.94'}",,CHEMBL304367,,CHEMBL304367,5.89,0,http://www.openphacts.org/units/Nanomolar,128040,=,1,1,=,,IC50,nM,,1300.0,CHEMBL1857,Escherichia coli K-12,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,83333,,,IC50,uM,UO_0000065,,1.3
,,952071,[],CHEMBL678212,Antibacterial activity against Escherichia coli Enoyl-[acyl-carrier-protein] reductase was determined,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(c1ccc(O)cc1)N1CCc2c(n(Cc3ccccc3)c3ccccc23)C1,,,CHEMBL1133924,Bioorg Med Chem Lett,2001,"{'bei': '11.95', 'le': '0.22', 'lle': '-0.02', 'sei': '10.05'}",,CHEMBL304367,,CHEMBL304367,4.57,0,http://www.openphacts.org/units/Nanomolar,128040,=,1,1,=,,IC50,nM,,27000.0,CHEMBL1857,Escherichia coli K-12,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,83333,,,IC50,uM,UO_0000065,,27.0
,,952259,[],CHEMBL677572,Antibacterial activity against Escherichia coli FabI,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(c1ccc(Cl)cc1Cl)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1,,,CHEMBL1133924,Bioorg Med Chem Lett,2001,"{'bei': '9.85', 'le': '0.20', 'lle': '-1.45', 'sei': '9.78'}",,CHEMBL72725,,CHEMBL72725,4.45,0,http://www.openphacts.org/units/Nanomolar,128021,=,1,1,=,,IC50,nM,,35800.0,CHEMBL1857,Escherichia coli K-12,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,83333,,,IC50,uM,UO_0000065,,35.8
,,953491,[],CHEMBL677572,Antibacterial activity against Escherichia coli FabI,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,,,CHEMBL1133924,Bioorg Med Chem Lett,2001,"{'bei': '11.75', 'le': '0.21', 'lle': '0.49', 'sei': '6.53'}",,CHEMBL421119,,CHEMBL421119,4.67,0,http://www.openphacts.org/units/Nanomolar,128010,=,1,1,=,,IC50,nM,,21400.0,CHEMBL1857,Escherichia coli K-12,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,83333,,,IC50,uM,UO_0000065,,21.4
,,953493,[],CHEMBL677572,Antibacterial activity against Escherichia coli FabI,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(c1ccc(O)cc1)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1,,,CHEMBL1133924,Bioorg Med Chem Lett,2001,"{'bei': '13.49', 'le': '0.24', 'lle': '1.08', 'sei': '8.18'}",,CHEMBL72232,,CHEMBL72232,5.38,0,http://www.openphacts.org/units/Nanomolar,128015,=,1,1,=,,IC50,nM,,4200.0,CHEMBL1857,Escherichia coli K-12,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,83333,,,IC50,uM,UO_0000065,,4.2
,,953498,[],CHEMBL677572,Antibacterial activity against Escherichia coli FabI,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)ccc1O,,,CHEMBL1133924,Bioorg Med Chem Lett,2001,"{'bei': '12.99', 'le': '0.24', 'lle': '0.75', 'sei': '8.15'}",,CHEMBL73953,,CHEMBL73953,5.36,0,http://www.openphacts.org/units/Nanomolar,128030,=,1,1,=,,IC50,nM,,4400.0,CHEMBL1857,Escherichia coli K-12,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,83333,,,IC50,uM,UO_0000065,,4.4
